AppID,Name,Release date,Developers,Publishers,Price,total_reviews,review_score_percent,Genres
1453850,Pro Cycling Manager 2021,"Jun 3, 2021",Cyanide Studio,Nacon,39.99,622,79.2604501607717,"Casual, Racing, Simulation, Sports, Strategy"
1449690,The Walking Dead: The Telltale Definitive Series,"Oct 29, 2020",Skybound Games,Skybound Games,4.99,31041,96.54650301214522,Adventure
285380,On The Road - The Truck Simulator,"Nov 14, 2019",tox² interactive GmbH,Aerosoft GmbH,14.99,1125,48.44444444444444,"Casual, Simulation, Strategy"
967460,Red Eclipse,"Dec 19, 2019","Quinton Reeves, Lee Salzman, Sławomir Błauciak",Quinton Reeves,0.0,809,86.27935723114956,"Action, Indie, Free To Play"
1011610,Radio General,"Apr 9, 2020","Foolish Mortals Games, Michael Long",Foolish Mortals Games,3.99,516,82.75193798449612,"Indie, Simulation, Strategy"
1593500,God of War,"Jan 14, 2022","Santa Monica Studio, Jetpack Interactive",PlayStation Publishing LLC,19.99,158017,96.00612592316017,"Action, Adventure, RPG"
1273400,Construction Simulator,"Sep 20, 2022",weltenbauer. Software Entwicklung GmbH,astragon Entertainment,13.99,11160,82.37455197132616,"Casual, Simulation"
685670,Know by heart,"Feb 10, 2022",Ice-Pick Lodge,Ice-Pick Lodge,4.99,776,89.0463917525773,"Adventure, Casual, Indie"
1302050,Milky Way Prince – The Vampire Star,"Aug 13, 2020","Eyeguys, Lorenzo Redaelli",Santa Ragione,2.24,518,78.37837837837837,"Adventure, Indie"
783840,Lakeview Valley,"Oct 22, 2019",Roope Tamminen,Roope Tamminen,1.49,717,82.98465829846583,"Adventure, Indie, RPG"
1953520,WRC Generations – The FIA WRC Official Game,"Nov 3, 2022",KT Racing,Nacon,5.99,3563,69.37973617737862,"Racing, Simulation"
1307690,The Darkest Tales,"Oct 13, 2022",Trinity Team,101XP,7.99,843,72.00474495848161,"Action, Adventure"
1393410,Seek Girl V,"Aug 28, 2020",DSGame,DSGame,0.99,962,72.55717255717255,"Adventure, Casual, Indie, RPG, Strategy"
1162650,Ken ga Kimi,"Mar 25, 2020",Rejet,Beijing Happy Entertainment Technology,34.99,1052,94.3916349809886,"Adventure, RPG"
1159640,ANIME - World War II,"Jan 13, 2020",Konnichiwa Games,Konnichiwa Games,0.99,767,83.83311603650587,"Action, Indie"
819030,STEINS;GATE ELITE,"Feb 19, 2019",MAGES. Inc.,"Spike Chunsoft Co., Ltd.",0.0,1474,91.38398914518318,Adventure
579840,Bloody Trapland 2: Curiosity,"Feb 1, 2019","2Play, Prasius",2Play,2.49,951,82.64984227129337,"Action, Adventure, Casual, Indie"
1129190,Our Life: Beginnings & Always,"Nov 16, 2020",GB Patch Games,GB Patch Games,0.0,12452,98.82749759074846,"Casual, Indie, Free To Play"
355680,Overland,"Sep 19, 2019",Finji,Finji,6.99,520,73.84615384615385,Strategy
1019450,Table Manners: Physics-Based Dating Game,"Feb 14, 2020",Echo Chamber Games,Curve Games,3.59,502,56.97211155378486,Simulation
1011390,Field of Glory: Empires,"Jul 11, 2019",Ageod,Slitherine Ltd.,23.99,838,82.4582338902148,Strategy
961620,Flashback,"Feb 28, 2019",Paul Cuisset,Microids,0.99,557,78.27648114901257,"Action, Adventure"
1361320,The Room 4: Old Sins,"Feb 11, 2021",Fireproof Games,Fireproof Games,2.24,16277,98.5869631996068,Adventure
757300,Truberbrook / Trüberbrook,"Mar 12, 2019",btf,Headup,2.99,2146,72.60018639328985,"Adventure, Indie"
1929870,Nomad Survival,"Oct 8, 2022",The Fox Knocks,The Fox Knocks,3.99,2059,84.74987858183584,"Action, Indie"
1026840,Ultra Fight Da ! Kyanta 2,"May 8, 2019",羽良麻セルフ,,0.0,1166,96.56946826758147,"Action, Free To Play, Indie, Early Access"
720350,Mundaun,"Mar 16, 2021",Hidden Fields,Annapurna Interactive,5.99,1272,93.71069182389937,"Action, Adventure, Indie"
1072920,HomeWork Is Crazy / 作业疯了,"Jun 13, 2019",三脚猫,Gamirror Games,2.39,1228,26.384364820846905,"Casual, Indie"
1256670,Library Of Ruina,"Aug 10, 2021",ProjectMoon,ProjectMoon,29.99,34509,94.09429424208177,"Indie, RPG, Strategy"
1628130,Who Pressed Mute on Uncle Marcus?,"Mar 18, 2022","Wales Interactive, Good Gate Media",Wales Interactive,2.99,1022,65.65557729941291,Adventure
1020800,CAR TUNE: Project,"Feb 20, 2020",Vertices Software,Vertices Software,15.19,580,83.79310344827586,"Indie, Racing, Simulation, Early Access"
1392820,Milk inside a bag of milk inside a bag of milk,"Aug 26, 2020",Nikita Kryukov,Missing Calm,0.74,29935,96.66610990479371,"Adventure, Indie"
1462040,FINAL FANTASY VII REMAKE INTERGRADE,"Jun 17, 2022",Square Enix,Square Enix,19.99,37307,88.66700619186749,"Action, Adventure, RPG"
805590,ARMORED HEAD,"Jul 31, 2020",Egor Rezenov,Egor Rezenov,2.99,1227,98.12550937245314,"Action, Adventure, Indie"
1944240,Touch Some Grass,"Apr 11, 2022",jpm_games,jpm_games,0.79,939,94.88817891373802,"Casual, Simulation"
914020,Gibbous -  A Cthulhu Adventure,"Aug 7, 2019",Stuck In Attic,Stuck In Attic,3.99,2177,89.71061093247589,"Adventure, Indie"
787810,Rogue Heroes: Ruins of Tasos,"Feb 23, 2021",Heliocentric Studios,Team17 Digital,1.99,3454,78.40185292414591,"Action, Adventure, Indie, RPG"
1671410,Somerville,"Nov 14, 2022",Jumpship,Jumpship,19.99,1477,70.00677048070413,Adventure
983970,Haven,"Dec 3, 2020",The Game Bakers,The Game Bakers,7.49,5037,90.27198729402423,"Adventure, Indie, RPG"
1139890,Dictators:No Peace Countryballs,"Jan 1, 2020",RPN Indie Developer,RPN Indie Developer,0.99,6095,94.17555373256768,"Casual, Indie, Simulation, Strategy"
1732740,Sakura Hime,"Oct 15, 2021",GirlGames,GirlGames,2.79,1374,92.13973799126637,"Casual, Indie, RPG, Simulation"
1697700,Who's Lila?,"Feb 23, 2022",Garage Heathen,"Garage Heathen, IndieArk",5.39,2731,95.12998901501281,"Adventure, Casual, Indie, RPG"
1296830,暖雪 Warm Snow,"Jan 18, 2022",BadMudStudio,bilibili,12.59,37007,93.07428324371065,"Action, Adventure, Indie, RPG"
314430,M.A.R.S.,"Oct 28, 2021",YingPei Games,SubaGames,0.0,1090,63.027522935779814,"Action, Free To Play, Massively Multiplayer"
422510,DEMON'S TILT,"Dec 13, 2019","WIZNWAR, FLARB LLC",FLARB LLC,9.99,917,94.43838604143949,"Action, Indie"
1685750,Capcom Fighting Collection,"Jun 23, 2022","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",14.99,880,90.22727272727272,Action
750290,Slice of Sea,"Nov 11, 2021",Mateusz Skutnik,Mateusz Skutnik,2.49,519,92.10019267822736,"Adventure, Indie"
1005870,HYPERFIGHT,"Mar 7, 2019",studio joh,studio joh,0.0,903,89.59025470653378,"Action, Casual, Indie, Free To Play"
976010,I hate this game,"Mar 7, 2019",Pixel Error,Pixel Error,0.99,2262,92.79398762157382,Indie
1016920,Unrailed!,"Sep 23, 2020",Indoor Astronaut,Daedalic Entertainment,2.99,18669,93.34190369061011,"Action, Casual, Indie"
1258040,Super Bernie World,"Mar 9, 2020",Gamedevs for Bernie,Kitsune Games,0.0,3103,79.21366419593942,"Action, Adventure, Free To Play, Indie"
1921900,The Testing Chamber,"Mar 28, 2022",Randumb Studios,Randumb Studios,3.99,649,97.22650231124807,"RPG, Simulation"
1916970,Tree Simulator 2023,"Apr 1, 2022",Revmatek,Remvatek,0.79,773,95.86028460543338,"Action, Adventure, Casual, Indie, Simulation"
